
"UC Santa Barbara",108.08263538692,96.211930120125,0.79215116917169,20–4,20,24,53,47.7,35.5,28,16.5,20.8,28.2,24.5,66.7,53.4,46.6,34.8,33.4,7,6,58.1,44.4,33.8,30.9,66.6,,,,2021,,,,0.12278455685632,76.3,76.2
"Arkansas Pine Bluff",90.560695560909,114.25972511225,0.06457224135183,4–21,4,25,43.2,54.1,38.6,38.3,22.5,18.4,27.2,32.2,69.4,41.9,51.2,30.8,40,9.9,9.9,45.8,59.4,29.5,33.3,68.8,,,,2021,,,,-15.872210655191,72.3,67.4
Toledo,112.89819384021,101.38997355063,0.77493520330646,21–8,21,29,54.3,48.3,28.5,23.4,15.5,17.4,29.6,30.7,70.3,52.5,51,37.7,29.5,6.4,8.4,55.6,45.7,45.2,40.3,70,,,,2021,,,,-2.03772461312,77.9,72.6
Indiana,107.88947153886,93.956715662936,0.83063586934773,12–15,12,27,48.5,48.8,41.5,33.5,17.2,17.6,25.5,27.4,67.2,48.5,48.1,32.4,33.4,10.5,9.6,57.5,48.7,32.3,37.6,67.2,,,,2021,,,,-1.3139287095143,66.5,71.7
"North Carolina St.",109.95348348729,96.734860737906,0.81350701278324,13–10,13,23,52.7,51.5,32.1,29.3,18.6,22,29.9,32.5,68.5,51.9,50.5,36.3,35.6,11.9,9.4,48.5,50.3,32.4,34.5,69,,,,2021,,,,-1.5326375929237,70.4,71.7
"Central Michigan",98.497642704323,111.2147383665,0.19838030037247,5–15,5,20,48.7,54,36.2,27.5,17.9,18.2,26.6,32.2,73.8,48.8,53.6,32.2,36.4,7.9,9.7,38,51.8,31.8,39.8,73.3,,,,2021,,,,-11.390420223341,67.8,76.8
"Wright St.",106.88109513514,94.71377132098,0.80057017607485,18–6,18,24,54.4,45.1,34.5,21.8,18,16.7,34.2,25.1,72.1,53.8,44.8,37,30.6,8.4,5.2,52,44.2,32.9,32.9,72.3,,,,2021,,,,-3.530294458329,72.6,70.1
"UC Irvine",99.221596843182,92.893013919404,0.68090489836296,16–9,16,25,47.3,45.6,29.1,28.1,18.9,18.2,31.1,24.7,68.2,46.7,43.2,32.9,32.9,11.3,5.4,43.1,54.6,24.5,39.6,68.7,,,,2021,,,,-3.3762755674969,75.6,70.7
Furman,108.9478262398,100.30830024824,0.72114285578542,13–9,13,22,56.7,51.5,25.8,28.7,17.8,20.5,26.3,27.4,70.2,60.8,51.5,34.8,34.3,9.5,9.2,56.4,50.2,48.3,38.3,69.1,,,,2021,,,,-4.6177652253021,72.3,67
UAB,102.24526681082,93.614129677547,0.73384548911908,20–7,20,27,48.6,47,29.9,27.1,15.6,23.6,29,25.4,68.1,49.4,46.1,31.1,32.4,11.6,8.5,40,49.1,27.6,35.5,68.4,,,,2021,,,,-2.618560405759,70.2,69.5
